"min1","min2","min3","min4","min5","min6","min7","min8","min9","min10","min11","min12","max1","max2","max3","max4","max5","max6","max7","max8","max9","max10","max11","max12","avg1","avg2","avg3","avg4","avg5","avg6","avg7","avg8","avg9","avg10","avg11","avg12","rain1","rain2","rain3","rain4","rain5","rain6","rain7","rain8","rain9","rain10","rain11","rain12"
0.7,0.7,1.5,2.9,5.5,8.4,10.2,10,8.4,6.2,2.7,1.7,7.4,7.6,9.5,11.8,14.8,17.6,19.1,18.9,16.8,13.8,9.8,8.2,4.1545,4.2909,5.6636,7.5182,10.282,13.127,14.736,14.473,12.645,10.045,6.3091,4.9909,89.636,65.545,70.182,60.364,65.273,66.273,68.182,85.909,86.909,90.636,85.455,98.364
1,0.9,1.8,3.1,5.5,8.2,10.1,9.8,8.3,6.2,3,1.8,7.8,7.8,9.7,11.8,14.8,17.6,19.3,19,17,14.1,10.2,8.6,4.525,4.6,5.925,7.6917,10.358,13.15,14.9,14.658,12.892,10.3,6.7167,5.3583,80.333,59.5,61.583,55.167,64.75,59.917,58.833,76.333,81.333,83.667,79.667,91.917
2,1.6,2.6,4,6.5,9.3,10.8,10.6,9,7,3.9,2.7,6.5,6.2,7.6,9.7,12.4,14.7,15.7,15.7,13.9,11.7,8.7,7.2,4.2,3.9,5.1,6.8,9.4,12,13.2,13.1,11.4,9.3,6.3,4.9,132,92,97,69,66,72,88,100,127,143,137,135
1.2,0.7,2,3.7,6.5,9.5,10.8,10.4,8.3,6.2,2.9,1.8,6,5.6,7.3,9.7,12.6,15.3,16,15.8,13.5,11.1,8.1,6.6,3.625,3.15,4.625,6.675,9.525,12.325,13.375,13.1,10.9,8.65,5.475,4.2,126.25,88.25,95.75,67.25,64.5,71,83.25,95.25,123.25,140.25,135,130
1.5,1,2.2,3.7,6.3,9.1,10.6,10.4,8.6,6.5,3.3,2.2,6.5,6.2,7.7,9.9,12.6,15.1,15.9,15.9,13.9,11.6,8.6,7.1,3.94,3.58,4.9,6.8,9.48,12.12,13.28,13.12,11.22,9.04,5.96,4.64,131,90.4,97,68.6,65.2,72.2,86.8,99.4,126.8,143.4,137.2,134.8
1.5,1.1,2.1,3.5,6,8.7,10.1,10,8.2,6.3,3.2,2,6.4,6.2,7.5,9.5,12,14.4,15.2,15.4,13.3,11.3,8.4,6.9,3.95,3.65,4.8,6.5,9,11.55,12.65,12.7,10.75,8.8,5.8,4.4,137,99,104.5,74,70,74.5,86.5,99.5,126.5,149,139.5,140
-0.2,-0.3,0,1,3.3,5.4,7,7.3,5.7,3.9,1.2,0,5.5,5.3,5.9,7.2,9.3,11.3,12.6,12.9,11.3,9.4,6.8,5.7,2.7167,2.5167,2.95,4.2167,6.3833,8.5,9.9167,10.2,8.5667,6.7167,4.05,2.9167,156,121.17,133.67,95.167,72.667,70.833,83.333,93.333,137.5,167.5,149,166.67
-0.3,-0.5,-0.2,0.8,3.2,5.3,6.9,7.1,5.6,3.7,1,-0.1,5.3,5,5.5,6.7,8.9,10.9,12.2,12.6,10.9,9,6.5,5.5,2.3667,2.1667,2.5,3.6667,5.9667,8.0333,9.4667,9.8,8.1667,6.2333,3.6333,2.5667,159.33,123.67,137.33,98,74,72,84.667,94.333,139.67,170,151.67,171
2.5,2.3,3.1,4.3,6.7,9.2,10.8,10.9,9.7,7.7,4.5,3.5,7.2,7,8.3,10.3,12.9,15.1,16,16.2,14.6,12.4,9.4,8.1,4.875,4.675,5.675,7.25,9.75,12.05,13.325,13.525,12.15,10.075,6.975,5.775,138,91.5,98.5,69.5,62.75,69.75,89.75,103.25,133.25,148.25,139.5,140
0.5,0.4,1.7,3.1,6,8.8,10.2,10.1,8.3,5.8,2.7,1.6,6.8,6.7,8.4,10.6,13.6,16.1,16.9,16.8,14.8,12.2,9.2,7.7,3.8,3.7,5.175,6.9583,9.8833,12.558,13.633,13.533,11.7,9.1583,6.075,4.8167,184.58,116.58,137.67,91.917,78.583,90.667,107.75,123.67,163.25,184.92,180.33,193.25
0.6,0.4,1.8,3.1,6.1,9.1,10.4,10.2,8.4,5.8,2.8,1.7,6.7,6.7,8.4,10.6,13.8,16.5,17.2,17,14.9,12.2,9.1,7.6,3.6857,3.6286,5.2143,6.9714,10.014,12.771,13.814,13.629,11.786,9.0857,6.0429,4.7571,179.71,112.14,131.86,90,76.857,87.429,107,123,159,177.43,171.57,183
0.9,0.5,1.7,3.2,5.9,8.8,10.2,9.9,8.2,6,2.7,1.7,5.9,5.8,7.4,9.7,12.6,15.2,16,15.8,13.6,11.3,8.1,6.7,3.4429,3.1286,4.5714,6.4286,9.2714,12.029,13.1,12.9,10.871,8.6286,5.4286,4.1714,130.57,88.714,101.71,69.286,67.714,76.857,87.286,99.429,129.14,145.57,143.71,138.71
1,0.5,1.7,3.3,6.1,9,10.4,10.1,8.2,6,2.8,1.6,6.1,6.1,7.7,9.8,12.7,15.2,16,16,14,11.6,8.4,7,3.5667,3.2667,4.6333,6.5333,9.3333,12.033,13.167,13,11.033,8.7667,5.6333,4.3333,142.33,96.667,108,74,69.333,78.667,92,104.67,136.33,154,150.67,151.33
-0.7,-1,0.5,1.8,5,8.1,9.3,9.3,7.1,4.7,1.4,0.2,6.1,6.2,7.9,10,13.2,15.9,16.6,16.7,14.3,11.8,8.5,7,2.85,2.7583,4.3,6.0333,9.125,11.95,12.992,12.95,10.792,8.3583,5.05,3.7417,158.08,105.33,124.83,81.833,77.167,89.917,96.5,109.75,144.08,165.67,168.33,176.33
-1.1,-1.3,0.4,1.9,5.2,8.3,9.6,9.3,7.1,4.5,1.3,0,6.2,6.3,8.4,10.7,14,16.7,17.4,17.3,14.9,12,8.8,7.2,2.9,2.8375,4.4688,6.3438,9.5,12.338,13.35,13.219,11.081,8.475,5.2562,3.9,187.75,122.62,145.38,94.688,83.375,98.25,108.25,122.75,164.19,189.81,190.5,209.19
1.2,0.8,1.8,3,5.6,8.2,9.7,9.6,8,6,2.7,1.8,6.6,6.5,7.7,9.5,12.1,14.5,15.4,15.6,13.7,11.6,8.4,7.2,3.8167,3.5833,4.7,6.2833,8.9,11.433,12.633,12.633,10.817,8.7667,5.5167,4.4333,123.33,88.5,96.167,68.167,62.833,67.833,77.333,87.833,114.67,132.67,130.5,127.33
0.6,0.2,1.3,2.7,5.4,8.1,9.5,9.4,7.6,5.5,2.2,1.2,6.2,6.1,7.5,9.6,12.4,15,15.8,15.7,13.6,11.4,8.2,6.9,3.3333,3.0583,4.325,6.0417,8.7917,11.475,12.583,12.492,10.525,8.3583,5.1417,4,125.67,88.25,97.833,68.75,66.083,72.333,82.5,93.833,120.83,137.92,135.75,130.08
1.3,1,1.9,3,5.6,8.2,9.6,9.6,8.1,6.1,2.8,1.9,6.7,6.8,7.9,9.7,12.3,14.8,15.7,16,14,11.9,8.6,7.4,3.9667,3.7667,4.8167,6.2333,8.8667,11.383,12.55,12.683,10.967,8.9333,5.6667,4.6167,125.83,91.333,98.5,69.333,61.833,66.833,75.833,85.667,111.83,130.83,130.33,131.17
0.4,0.2,1.5,2.8,5.5,8.2,9.6,9.5,7.9,5.8,2.5,1.3,6.3,6.3,7.9,9.9,13.1,15.9,16.6,16.8,14.3,11.9,8.4,7.1,3.4375,3.3375,4.725,6.35,9.3,12.038,13.088,13.138,11.1,8.8,5.45,4.2625,127.38,85.75,99.25,67.625,67.125,74.5,82.5,94.75,121.62,137.62,138.62,134.12
0.4,0.2,0.5,1.6,3.9,6,7.5,7.8,6.2,4.4,1.8,0.6,5.5,5.2,5.7,7,9.2,11.2,12.5,12.8,11.1,9.2,6.7,5.7,3.0667,2.85,3.2167,4.4167,6.6167,8.7,10.1,10.417,8.7833,6.9333,4.35,3.25,155,120,133.17,94.5,70.167,68.833,81.167,90.333,135.83,165.67,149.17,168
0.8,0.6,0.9,2,4.3,6.5,8,8.2,6.7,4.9,2.2,1,5.8,5.6,6.1,7.4,9.6,11.6,12.8,13.2,11.5,9.6,7,6,3.2375,3,3.4625,4.675,6.9375,9.025,10.412,10.725,9.075,7.2125,4.5875,3.4625,152.38,117.62,129.75,92,69.375,68.75,80.5,89.875,133.38,162.25,147.5,164
0.2,0,0.3,1.3,3.7,5.7,7.3,7.6,6,4.2,1.6,0.4,5.5,5.2,5.6,6.9,9.1,11.1,12.4,12.7,11.1,9.2,6.7,5.7,2.86,2.59,2.91,4.12,6.39,8.41,9.85,10.18,8.56,6.66,4.18,3.03,154.1,119.4,133,94.2,69.9,68.6,80.6,90.1,135.7,164.5,148.7,166.9
-8.4,-8.8,-8.5,-6.2,-2.4,0.2,2.6,3.4,1.1,-2,-5.3,-7.7,-2.7,-3.1,-3.1,-1.2,1.2,4.1,6.5,6.9,4.7,1.8,-0.7,-2.3,-5.55,-6,-5.8,-3.75,-0.65,2.15,4.55,5.1,2.85,-0.15,-3.05,-5,64.5,55.5,62.5,44.5,37.5,33.5,45.5,62.5,81,85,69.5,70.5
-12,-12.3,-12.1,-9.9,-5.9,-3.1,-0.6,0.2,-2.3,-5.6,-8.9,-11.2,-2.4,-2.9,-2.8,-1,1.4,4.2,6.6,7.1,4.8,2,-0.4,-2,-6.3455,-6.7545,-6.6,-4.5818,-1.4273,1.3818,3.7818,4.4455,2.0909,-0.9,-3.8182,-5.7636,68.727,59.545,67.727,48.727,40.818,36.636,49.091,66.455,84.818,88.727,73.273,75.545
2.8,3.1,5.8,8.2,9.6,13.6,16.4,16.7,14.4,10.8,7.9,4.9,17.2,17.8,19.3,20.8,23.5,28.5,32.1,32.2,29.6,25,21.5,18.7,11.017,11.607,13.603,15.42,17.573,21.1,23.757,24.103,22.157,18.713,15.393,12.503,129.17,123.3,118.1,56.567,31.467,7.8667,0.26667,2.8333,15.667,55.367,102.33,137.27
3.3,3.6,5.6,7.5,10,13.5,16,16.5,14.3,10.7,6.8,4.2,14.4,15.6,17.7,19.8,23.9,27.5,31.1,31.6,28.2,23.1,18,14.7,9.5467,10.287,12.26,14.2,17.333,20.827,23.793,24.293,21.727,17.453,12.947,9.98,99.533,94.067,96.133,59,38.733,13.267,1.4,3.8667,20.6,75.867,109.93,114.93
6.3,6.6,8.6,10.3,12.5,15.6,17.9,18.6,16.8,13.5,9.5,7.2,16.5,17,18.2,19.8,22.4,25.3,28.4,28.9,26.4,23,19.4,17.1,11.29,11.86,13.57,15.25,17.65,20.64,23.16,23.71,21.79,18.35,14.5,12,111,104,101.5,61.2,33.7,11,0.9,3.2,18.7,70.6,120.8,132.8
3.2,4,6.3,8.4,11.3,15.1,17.8,17.8,15.5,11.2,7,3.9,14.9,16.8,19.5,22.7,26.3,31.5,36.1,35.8,31.6,25.2,19.1,15.3,9.24,10.65,13.18,15.82,19.15,23.63,27.16,27.06,23.81,18.46,13.3,9.71,77.6,72.8,74.4,54.9,40.5,15,1.6,3.4,19.9,71.6,84.2,86.8
4.7,5.2,7.1,9,11.7,15.3,17.7,18,16,12.2,8,5.3,15,16.6,19,22,26.2,30.9,35.4,35.3,31.2,24.7,18.8,15.1,10.133,11.183,13.383,15.65,19.208,23.025,26.142,26.467,23.567,18.675,13.583,10.308,81.333,78.083,73.25,52,37.917,13.5,1.0833,3,18.25,74.917,94,95.917
2.2,3,5.3,7.4,10.3,14.3,17.2,17,14.6,10.2,6,3,11.6,13.9,16.9,20.3,23.9,30.3,35.1,34.1,29.5,22.4,16.1,12,6.8417,8.45,11.075,13.792,17.1,22.258,26.125,25.55,22.067,16.292,11.025,7.4417,68.75,61.667,75.75,57.083,47.833,20.833,3.9167,5.4167,25.083,62.667,70.25,74.667
2.1,3,5.3,7.3,10.3,14.1,16.8,16.8,14.6,10.2,6,2.9,12.3,14.3,17.2,20.6,24.3,30.6,35.5,34.8,30,22.9,16.7,12.6,7.0364,8.5091,11.073,13.773,17.155,22.1,25.9,25.545,22.082,16.436,11.173,7.6091,80.091,73.818,84.091,61.273,48.636,19.636,3.4545,5,24.545,71.364,82.455,86.727
0.9,1.7,3.9,5.8,8.8,13.1,16,15.7,13.1,8.5,4.2,1.7,10.9,13.3,16.3,19.6,23.1,29.3,33.8,32.7,28.4,21.7,15.5,11.4,6.05,7.65,10.275,12.812,16.075,21.388,25.125,24.438,20.95,15.238,9.9875,6.625,55.125,46,61.125,49.375,48.625,25.375,5.5,7.375,27.25,50.375,58.375,59.75
2.8,3.7,6.1,8.2,11,15.3,18.1,17.8,15.3,10.7,6.4,3.6,12.1,14.5,17.5,20.9,24.4,30.6,35.3,34.2,29.8,23,16.7,12.6,7.45,9.1333,11.842,14.55,17.758,22.958,26.675,26,22.592,16.9,11.617,8.05,54.583,46.75,61.833,48.167,43.167,20.5,3.3333,5.3333,23.833,51.583,57.083,60.167
1.4,2.1,4.4,6.1,9.1,13.3,15.9,15.7,13.1,8.8,4.5,2.1,11.4,13.9,17.1,20.4,23.8,29.7,33.8,32.9,28.7,22.2,16,11.9,6.625,8.2417,11.042,13.542,16.767,21.842,25.308,24.725,21.292,15.75,10.533,7.2083,46.417,38.5,49.083,42,43.833,24.333,5.5833,6.9167,26.083,44.417,51.417,51.167
2.1,2.5,4.4,6.4,8.9,12.6,15.1,15.6,13.2,9.5,5.7,3.3,15.4,16.1,17.9,20,23.3,27.1,30.7,30.8,27.4,22.9,18.7,16,8.9333,9.5889,11.489,13.556,16.511,20.444,23.5,23.822,21.011,16.633,12.433,9.6889,101.67,92.333,87.333,57.333,38.778,13.333,2.5556,5.3333,20.333,66.111,107.56,108.11
7.8,8.1,9.7,11.2,13.5,16.6,18.9,19.5,17.8,14.6,10.9,8.7,16.6,17.1,18.5,20.3,23.2,26.2,28.9,29.4,27.1,23.4,19.7,17.4,12.233,12.6,14.133,15.833,18.467,21.567,24.067,24.6,22.6,19.1,15.367,13.133,93,81,67.667,47,28,10,1,3.3333,16,56.333,103,106.67
3.3,4.1,6.1,7.8,10.5,14.4,17,17.4,14.7,10.9,6.9,4.5,16.7,17.1,18.6,20.7,23.6,27.1,30.8,30.7,27.4,23.5,19.9,17.5,10.025,10.8,12.675,14.638,17.55,21.538,24.438,24.712,21.9,17.662,13.512,10.875,81.75,73.5,64.625,48.5,31.625,12.375,2.75,4.625,17.125,55.125,90.75,87
3.4,4.3,6.7,8.9,11.7,15.7,18.5,18.3,16,11.6,7.3,4.2,14,16,18.9,22.2,25.8,31.5,36,35.6,31,24.4,18.3,14.3,8.8,10.267,12.908,15.65,18.817,23.742,27.375,27.067,23.575,18.133,13.017,9.3583,81.333,73.333,88,59.583,45.75,13.417,2.0833,3.5,20.333,72.333,78.667,90.583
4.4,4.9,6.9,8.7,11.4,15.1,17.6,17.9,15.7,11.9,7.7,5.1,14.5,15.9,18.5,21.4,25.5,30.3,34.5,34.5,30.3,24,18.1,14.5,9.3,10.336,12.582,14.918,18.218,22.527,25.791,25.882,22.727,17.773,12.9,9.7364,88.364,81.364,82.091,56.364,41.364,13.455,2,3.6364,19.455,71.909,94.364,99
3.6,4.5,6.7,8.5,11.5,15.7,18.7,18.7,15.9,11.6,7.2,4.4,13.1,15.4,18.6,21.9,25.2,31.5,36,35.2,30.5,23.9,18,13.7,8.4667,10.056,12.689,15.278,18.467,23.6,27.344,26.933,23.267,17.789,12.678,9.1556,73.222,69,82.667,58.667,43.889,13.111,3,4.1111,21,61.889,69.444,79.111
1.6,2.5,4.6,6.3,9.2,13.2,16,16.2,13.3,9.4,5.3,2.8,13.2,14.9,17.6,20.4,24,29.5,33.6,33.3,28.9,22.8,17.2,13.6,7.8,9.1333,11.411,13.6,16.922,21.689,25.156,25.089,21.456,16.456,11.6,8.4556,81.556,75.111,76,58.556,41.556,14.333,4,5.3333,20.667,60.889,84.778,84.667
1.8,2.7,5.1,7.3,10.2,14.4,17.4,17.1,14.6,9.9,5.7,2.7,11.2,13.8,17,20.4,23.8,30.5,35.4,34.4,29.5,22.4,16,11.7,6.5583,8.2417,11.067,13.858,17.017,22.475,26.517,25.808,22.083,16.158,10.842,7.1833,64.75,58.667,77.333,58.667,50.667,19.167,3.9167,5.9167,24.75,60.417,62.667,71.167
1.9,2.7,5.1,7.2,10.1,14.2,17.3,17,14.5,10,5.7,2.7,11.7,14.1,17.2,20.6,24.1,30.7,35.6,34.7,29.7,22.7,16.5,12.2,6.6375,8.2,10.95,13.725,16.975,22.325,26.338,25.788,22.012,16.162,10.912,7.25,78.125,71.5,90.75,64.625,53,18,3.75,5.625,24.625,68.875,74,84.75
1,1.8,4.3,6.5,9.3,13.6,17,16.5,13.7,9,4.8,2,10.5,13.1,16.3,19.6,23,30,35,34,29,21.6,15.3,11,5.6889,7.4333,10.256,12.978,16.056,21.7,25.944,25.167,21.3,15.244,9.9111,6.4111,59.667,57.889,74.778,61.222,53.667,20.444,4.5556,7.4444,26.667,56.333,57.111,66.222
1.9,2.7,5.1,7.2,10.1,14.4,17.7,17.3,14.6,9.9,5.7,2.7,12.4,14.9,18.1,21.4,24.8,31.3,35.9,35,30.2,23.4,17.3,13.1,7.1,8.7833,11.567,14.3,17.45,22.933,27,26.367,22.55,16.667,11.417,7.8,68.167,65.833,84.333,61.833,50.167,16.5,3.6667,5.3333,24.167,60.167,62.667,74.333
0.1,0.9,3.3,5.4,8.4,12.8,15.9,15.4,12.6,7.9,3.5,1.2,10.4,13,16.3,19.5,22.9,29.4,34.1,33,28.4,21.3,15,10.9,5.4375,7.1125,9.9125,12.512,15.725,21.112,25.025,24.262,20.55,14.675,9.3875,6.1125,46.75,39.375,53.625,48.5,50,24.875,6.125,8.375,27.5,48.125,50.5,52.25
1.2,2.1,4.6,6.8,9.7,14,17.2,16.7,13.9,9.2,4.9,2.2,11.3,13.9,17,20.4,23.9,30.4,35.2,34.2,29.5,22.4,16,11.8,6.3333,8.075,10.917,13.642,16.8,22.217,26.217,25.425,21.725,15.817,10.5,7.0083,51.667,45.417,61.583,51.333,48.25,21,4.25,6.6667,25.333,51.667,53.083,58.167
-0.1,0.6,3,5.1,8.1,12.5,15.8,15.2,12.3,7.6,3.3,0.9,9.3,11.9,15.1,18.2,21.6,28.2,33.2,32,27.3,20,13.7,9.7,4.4833,6.1333,8.9667,11.533,14.767,20.233,24.383,23.533,19.683,13.65,8.3667,5.1667,43.833,38.833,50.5,51.667,53.833,27.333,7.6667,11.167,29.333,48.167,48.167,50.333
0.8,1.6,4.2,6.4,9.3,13.5,16.9,16.3,13.5,8.7,4.5,1.8,10.2,13,16.2,19.4,22.7,29.6,34.6,33.5,28.7,21.3,14.8,10.7,5.5,7.2556,10.178,12.867,15.911,21.467,25.667,24.778,20.978,14.933,9.6,6.1889,46.889,44,57,53.222,51.111,22.556,4.7778,8.2222,26.778,49.667,48.333,54
1.6,2.5,5,7.1,10.1,14.4,17.3,16.9,14.1,9.5,5.1,2.6,10.9,13.4,16.8,19.9,23.4,29.3,33.6,32.6,28.3,21.6,15.4,11.3,6.3556,8.0556,11.022,13.6,16.811,21.911,25.511,24.789,21.211,15.556,10.333,7.0333,37.333,30.444,41.222,39.222,42.778,22.778,5.8889,7.2222,25.333,40.667,43,42.667
0.9,1.7,4.4,6.6,9.6,14,16.9,16.4,13.6,9,4.5,2,10.3,12.9,16.3,19.4,22.9,28.8,33.3,32.2,27.7,20.9,14.8,10.8,5.675,7.3167,10.383,13.033,16.275,21.483,25.3,24.492,20.725,14.942,9.6833,6.425,35.583,29.75,38.833,41.75,44.917,24.583,7.25,9.1667,27,42.167,41.583,41.25
0.3,1,3.2,5,7.8,11.9,14.8,15,12,8.1,4.2,1.7,15.1,16.2,18.1,20.2,23.3,27.7,31.7,31.3,27.5,23,18.6,15.8,7.8625,9.05,11.162,13.1,16.225,20.812,24.088,24.162,20.775,16.2,11.688,8.725,65.5,56.875,54.625,51.375,35,12.25,4.75,6.25,18.375,46.75,66,66.125
0,0.6,2.7,4.6,7.4,11.5,14.7,14.9,11.9,7.9,4,1.5,13.3,14.5,16.5,18.7,21.8,27,30.9,30.7,27.1,22,17.3,13.9,7.0667,8.1,10.183,12.267,15.25,20.017,23.65,23.683,20.333,15.517,11.067,7.9833,56.833,48,52,53.167,37.5,13.333,6.1667,8.1667,20.333,43.833,51.333,57.833
-0.1,0.6,2.7,4.6,7.5,12,15.4,15.4,12.2,7.8,3.6,1,12.6,14.9,18.1,21.2,24.7,31,35.4,34.6,30,23.3,17.4,13.5,7.1667,8.7083,11.283,13.758,17.083,22.492,26.55,26.067,22.225,16.475,11.35,7.9,64.167,65.5,78.583,61.583,45.417,15.5,5.25,6.25,24.167,52.667,59.917,68.75
1,1.8,4.1,5.9,8.7,12.9,15.8,16,13,9,4.9,2.2,11.7,14,16.6,18.9,22.8,29,33.2,32.6,27.7,21.7,15.8,11.9,6.2333,7.7667,10.142,12.25,15.625,20.875,24.617,24.375,20.425,15.2,10.175,6.8917,66.917,61.75,64.667,59.583,42.667,14.667,6.3333,7.4167,22.083,51.417,67.833,69.25
0.5,1.2,3.4,5.3,8.2,12.7,16.2,16.1,13,8.4,4.3,1.6,12.4,14.4,17.4,20.3,23.8,30.1,34.6,33.7,29.4,22.7,17,13.1,6.5444,7.9,10.411,12.833,16.044,21.411,25.5,25.067,21.367,15.678,10.711,7.3333,51.778,52.556,64,57.778,44.333,17.111,6.2222,8,25.111,47.778,49.667,57.444
-6,-5.5,-3.8,-1.8,1.2,5.4,9.1,9.3,5.7,1.7,-2.3,-4.3,10.2,12,14.5,17.3,20.8,27.4,32.4,31.6,27,20.2,14.6,10.5,3.3,4.4111,6.6111,8.9667,12.222,17.622,22.022,21.733,17.722,12.156,7.3333,4.1111,70.778,68.889,79.667,77.667,58,24.667,13.889,16.778,31.444,59,68.556,73.778
0.7,1.4,4,6.2,8.9,13.2,16.7,16.2,13.3,8.5,4.4,1.7,10.6,13.2,16.4,19.6,22.9,29.8,34.7,33.7,28.9,21.6,15.3,11.2,5.6417,7.325,10.158,12.792,15.867,21.458,25.775,24.983,21.175,15.083,9.8,6.4,50.167,53,65.667,59.167,51.75,21.417,4.9167,8.3333,27.167,50.583,49.417,57.417
2.5,3.3,5.7,7.8,10.6,15,18.6,18.2,15.3,10.5,6.3,3.3,12.5,14.9,18.1,21.3,24.7,31.1,35.7,34.7,30.1,23.3,17.3,13.3,7.7375,9.3875,12.15,14.788,17.925,23.375,27.488,26.825,23.125,17.238,12.062,8.5125,54.5,57.125,71.875,56.25,44.125,15.5,3.5,5.125,23.625,50,50.375,60.875
0.7,1.3,3.7,6,9,13.2,16.7,16.3,13.4,8.5,4.3,1.7,10.6,12.9,16,18.9,22.4,28.9,33.9,32.8,28.3,21.2,15.2,11.2,5.5889,7.1111,9.8444,12.422,15.578,21.033,25.278,24.578,20.856,14.844,9.6889,6.3778,43.222,46.889,57.222,57.111,49.556,23.667,6.2222,9.7778,27.778,47.556,45.333,50
2.4,3.1,5.5,7.6,10.5,14.8,18.3,18,15.1,10.4,6.2,3.4,11.8,14.1,17.3,20.3,23.7,30.1,34.7,33.8,29.4,22.5,16.5,12.5,7.2167,8.6667,11.367,13.9,17.05,22.4,26.483,25.883,22.3,16.467,11.433,8.0167,44.667,47.5,58.333,53.5,42.833,17.833,4.6667,6.6667,24.333,45.5,44,50.667
-0.4,0.3,2.8,4.9,7.9,12.3,15.7,15.1,12.1,7.4,3,0.6,9.4,12,15.3,18.2,21.8,28,32.9,31.8,27.1,20,13.7,9.8,4.5125,6.1125,9,11.612,14.85,20.275,24.462,23.612,19.75,13.7,8.4,5.175,40.625,39.75,47,51.5,52,27.875,7.875,11.5,29.75,47.625,46.375,47.625
0.2,0.8,3.5,5.7,8.6,12.9,16.3,15.7,12.8,8,3.7,1.2,10.3,13.2,16.4,19.4,22.5,29.5,34.5,33.3,28.7,21.3,14.7,10.8,5.275,7.0667,9.9917,12.617,15.642,21.125,25.35,24.475,20.742,14.658,9.35,6.05,40.333,41.583,49.667,52.333,50.083,23.667,4.9167,9.25,27.167,46.5,43.917,48.083
0.6,1.3,3.8,6.2,9.3,13.5,16.8,16.2,13.4,8.5,4.2,1.6,9.9,12.4,15.7,18.5,22.2,28.3,33.2,32.1,27.6,20.5,14.3,10.5,5.2333,6.7667,9.7,12.317,15.667,20.817,24.9,24.117,20.4,14.4,9.1833,5.9333,36,38.333,43.667,47.667,47.667,27.5,7.8333,11,29,46.167,44.333,43.667
0.4,1.1,3.5,5.8,8.8,13,16.5,16,13.1,8.3,4.1,1.5,10.2,12.8,16.1,19,22.3,28.8,33.8,32.7,28.2,20.9,14.7,10.8,5.4778,7.0778,9.9667,12.533,15.722,21.011,25.2,24.422,20.733,14.722,9.5444,6.2667,37.222,40.111,47.444,51.222,48.111,25.667,6.3333,10.222,27.889,45.444,42.667,44.556
0.7,1.4,4,6.3,9.4,13.9,17.3,16.7,13.6,8.8,4.3,1.6,10,12.5,15.9,19.1,22.8,28.6,33.2,32,27.4,20.5,14.5,10.4,5.4111,6.9778,10.067,12.778,16.178,21.333,25.311,24.433,20.589,14.744,9.4333,6.0667,37.444,34.667,38.333,44.556,45,25.778,8.3333,10.556,28.222,45.444,45.111,43.333
0.2,0.7,3.2,5.6,8.7,12.9,16.2,15.7,12.8,8,3.6,1,9.6,12,15.6,18.5,22.5,28,32.8,31.6,27.1,20.1,13.9,10.1,4.9583,6.45,9.4333,11.992,15.575,20.483,24.5,23.717,20.008,14.092,8.8333,5.575,37.167,39.583,41,45,46.5,28.417,9.6667,11.5,30.417,47.75,49,45.417
0.3,0.8,2.8,4.6,7.6,11.5,14.9,15.3,12.2,8.1,4.2,1.8,15.4,16.1,17.9,19.8,22.3,26.6,30,30.2,27.3,23,19.1,16.3,8.6167,9.3833,11.367,13.333,16.183,20.383,23.817,24.117,21.25,16.717,12.45,9.5667,44.833,36.167,39.833,43.667,31.333,12.333,5,6.5,18.333,39.167,39.833,44.667
5.9,6.3,8.2,10,12.9,16.2,19.3,19.9,17.6,13.5,9.5,7,15.9,16.5,18.2,20,22.6,26.2,29.4,29.9,27.5,23.3,19.4,16.9,11.129,11.657,13.471,15.243,18.043,21.457,24.586,25.129,22.814,18.714,14.671,12.1,31.571,24.714,22.571,26.571,22,10.143,2,2.8571,16.143,34.714,31.571,29.857
-2.4,-1.9,0.1,2,5.1,9.4,13,13,9.8,5.3,1.2,-1.1,11.4,13,15.5,18.2,21.6,27.7,32.3,31.7,27.5,21.1,15.7,11.9,5.0667,6.2111,8.5333,10.856,14.111,19.311,23.522,23.189,19.511,13.922,9.0778,5.8889,49,49.333,58.667,62.778,49.889,23.889,10,13,28.889,50.667,50.556,53.556
-2.1,-1.6,0.3,2.2,5.2,9.3,12.8,13.1,9.8,5.6,1.7,-0.6,12.1,13.3,15.4,17.7,20.8,25.9,30.7,30.2,26.5,21,16.1,12.7,4.4444,5.4,7.5,9.7778,12.978,18.044,22.311,22.189,18.478,13.067,8.3889,5.2778,57.778,54.778,63.222,68.333,51.667,23.333,12.222,15.111,29,53.222,56.556,59.333
-0.3,0.3,2.3,4.3,7.4,11.5,15,15.1,12.1,7.6,3.4,1,12.1,13.4,15.8,18.1,21.5,26.7,30.9,30.7,27.1,21.3,16.2,12.7,5.4333,6.4083,8.65,10.917,14.183,19.067,23.083,22.967,19.458,14.108,9.3917,6.3083,42.167,41.083,47.583,59.667,47.833,25.667,10.5,14.333,29.667,50.833,47.333,45.917
-0.3,0.1,2.1,4,7,11.1,14.5,14.8,11.7,7.5,3.4,1.1,15.2,16.1,18.1,20.1,23,27,30.6,30.7,27.9,23.3,19,16.1,8.1667,8.9417,11.008,13.058,16.108,20.333,23.967,24.158,21.175,16.375,11.983,9.0833,38.167,33.5,35.583,43.167,34.5,16.417,5.6667,7.8333,23,43.5,39.833,39.333
